value,problem,area,module,page,solution_description,
10,I just want to know how to dispatch searches and get results,"forms,drilldown",Search,search1_intro,You can use $foo$ tokens directly in searches dispatched by the Search module.,
5,I want to make a drilldown run new searches and display new results lower down on the same page. ,drilldown,Search,drilldown1_tables,"easy simple drilldowns, with more advanced features and complexity if/when you need it.",
10,I want to make a drilldown redirect to another page and pass some arguments. ,drilldown,"URLLoader,Redirector,Search",linking,Learn how to make drilldowns redirect to another page. ,
4,I want to put simple static HTML on the page,"rendering,basic dashboards",HTML,html1_static,the HTML module is awesome.  Embed simple HTML directly or reference it from an external file in your app.,
6,I want to print dynamic values in my own custom HTML. ,"rendering,basic dashboards",HTML,html2_dynamic_ui_tokens,with the HTML module you can make any parts of the html dynamic by using the appropriate $foo$ tokens. ,
2,I  think I need custom Javascript to do what I want to do.,advanced techniques,CustomBehavior,custom_behavior1_overview,"For advanced users who are comfortable with Javascript, the CustomBehavior module offers a clean way to customize a view's behavior from application.js.  ",
5,I need to put dynamic $foo$ tokens into a postprocess search,"basic dashboards,drilldown",PostProcess,post_process2_dynamic,"the PostProcess module can substitute $foo$ tokens at runtime, making this a very powerful tool for advanced dashboards and reporting tools. ",
3,I want to use search results in pulldown menus without spending one search per menu,forms,Pulldown,pulldown4_dynamic_postprocess,"The Pulldown module is easy to use in simple cases, but has tons of optional advanced functionality for more complex use cases. ",
4,I want to use a paginated table but I'm also using postprocess searches,basic dashboards,"Pager,PostProcess",pager2_postprocess,the Pager module will account for postprocess search. ,
5,I want to let users use the back button in my custom form search page,advanced techniques,URLLoader,back_button1,the URLLoader module allows you to turn on the back button even in complex form search views.,
4,"I want to use an ""endless scroller"" instead of paginating my events",advanced techniques,Events,events1_intro,The Events module offers endless scrolling functionality,
7,When a table is clicked I want to pass one or more fields to the drilldown search but it's not the first column.,drilldown,"Table,SideviewUtils",drilldown1_tables,"The Table module allows you to reference any field in the clicked row, and much more. ",
9,I'm finding it hard/impossible to link from one view to another the way I want,"drilldown,basic dashboards","Redirector,URLLoader",linking,"the Redirector module on the first view, combined with the URLLoader module on the target view,  replace various combinations of ViewRedirector, ConvertToRedirect and ConvertToDrilldownSearch.",
3,I want to use a checkbox in my form search view,"forms,basic dashboards",Checkbox,checkbox1,Sideview Utils offers a Checkbox module,
