state,code,median_age
Alabama,AL,38.9
Alaska,AK,34
Arizona,AZ,37.4
Arkansas,AR,37.9
California,CA,36.3
Colorado,CO,36.6
Connecticut,CT,40.8
Delaware,DE,40.2
District of Columbia,DC,33.9
Florida,FL,41.9
Georgia,GA,36.5
Hawaii,HI,38.9
Idaho,ID,36.1
Illinois,IL,37.9
Indiana,IN,37.6
Iowa,IA,38.1
Kansas,KS,36.5
Kentucky,KY,38.7
Louisiana,LA,36.6
Maine,ME,44.6
Maryland,MD,38.6
Massachusetts,MA,39.4
Michigan,MI,39.7
Minnesota,MN,37.9
Mississippi,MS,37.2
Missouri,MO,38.5
Montana,MT,39.8
Nebraska,NE,36.4
Nevada,NV,37.9
New Hampshire,NH,42.7
New Jersey,NJ,39.8
New Mexico,NM,37.5
New York,NY,38.7
North Carolina,NC,38.6
North Dakota,ND,35.1
Ohio,OH,39.3
Oklahoma,OK,36.4
Oregon,OR,39.2
Pennsylvania,PA,40.7
Rhode Island,RI,39.9
South Carolina,SC,39.2
South Dakota,SD,36.8
Tennessee,TN,38.7
Texas,TX,34.4
Utah,UT,30.7
Vermont,VT,42.9
Virginia,VA,38.1
Washington,WA,37.6
West Virginia,WV,42.4
Wisconsin,WI,39.3
Wyoming,WY,37.3
American Samoa,AS,26.1
Puerto Rico,PR,44.5
Guam,GU,31.4
US Virgin Islands,VI,39.2
Northern Mariana Islands,MP,33.4
